fire_id,a,b,ha,yr
4105,46.22770690917969,57.00595474243164,210.0,2023
4106,0.23844146728515625,22.560251235961914,0.8,2023
4107,21.500364303588867,15.471964836120605,0.07,2023
4108,27.5701961517334,35.27971267700195,0.5,2023
4109,51.29351806640625,20.67998504638672,190.0,2023
4110,54.656558990478516,4.226187705993652,475.0,2023
4111,3.5239617824554443,16.09747314453125,27.0,2023
4116,28.7982234954834,28.21013832092285,0.02,2023
4117,86.86166381835938,8.988067626953125,2.0,2023
4118,49.74311447143555,32.85386657714844,1.5,2023
4119,8.759783744812012,9.070399284362793,0.16,2023
4120,84.939697265625,2.4870622158050537,0.1,2023
4121,51.91488265991211,42.948333740234375,4.0,2023
4122,,,0.7,2023
4123,1.7832320928573608,4.715901851654053,15.0,2023
4124,3.2169549465179443,27.910215377807617,1.0,2023
4125,,,1.0,2023
4126,49.462703704833984,27.224830627441406,0.5,2023
4127,,,0.5,2023
4128,34.54051208496094,41.472591400146484,0.03,2023
4129,42.25004959106445,39.98057174682617,1.0,2023
4130,13.254240989685059,2.0973949432373047,0.04,2023
4131,,,0.07,2023
4155,13.126042366027832,59.53231430053711,0.05,2023
4156,40.737403869628906,2.04787015914917,0.03,2023
4157,26.776281356811523,54.364654541015625,70.0,2023
4158,66.55216979980469,12.137258529663086,4.0,2023
4159,28.46221351623535,59.382484436035156,889.36,2023
4160,31.59456443786621,7.766188144683838,0.2,2023
4161,3.8062422275543213,29.340330123901367,1.5,2023
4177,56.30934143066406,30.68276596069336,0.1,2023
4178,6.814828395843506,72.52015686035156,0.06,2023
4179,91.93896484375,25.534088134765625,0.3,2023
4180,6.966660976409912,24.91847038269043,0.26,2023
4181,6.639472007751465,41.59493637084961,0.33,2023
4184,37.92368698120117,9.00036334991455,0.22,2023
4185,82.17142486572266,16.878822326660156,0.5,2023
4189,53.9720458984375,20.817533493041992,0.01,2023
4191,4.381272315979004,1.1152913570404053,0.05,2023
4192,9.56561279296875,15.863829612731934,0.04,2023
4195,2.019326686859131,9.247446060180664,0.01,2023
4196,82.02317810058594,60.64426040649414,0.03,2023
4198,81.65461730957031,71.82518005371094,0.06,2023
4199,43.63029479980469,58.85615158081055,0.05,2023
4203,,,0.16,2023
4204,92.64187622070312,91.32588195800781,0.1,2023
4205,38.649925231933594,20.617231369018555,0.1,2023
4206,16.337270736694336,17.883161544799805,0.01,2022
4209,19.121105194091797,45.829864501953125,0.1,2022
4210,0.1573181003332138,3.4254143238067627,0.1,2022
4211,6.987545490264893,14.40530776977539,0.01,2022
4212,61.402217864990234,30.48198699951172,0.1,2022
4213,25.705724716186523,52.84898376464844,0.09,2022
4214,0.2833331227302551,1.4212138652801514,0.03,2022
4215,33.53096008300781,34.840877532958984,5.0,2022
4216,61.9688835144043,14.688908576965332,0.01,2022
4217,21.44676399230957,46.41044616699219,0.15,2022
4218,12.386392593383789,12.199644088745117,0.09,2022
4221,70.57429504394531,6.730432033538818,0.01,2022
4222,7.852795124053955,7.863764762878418,0.89,2022
4226,90.28519439697266,96.3860092163086,0.05,2022
4228,48.76676559448242,59.319847106933594,0.04,2022
4232,10.442051887512207,14.167740821838379,0.3,2022
4233,27.595645904541016,9.85597038269043,0.33,2022
4234,51.641056060791016,62.17150115966797,0.09,2022
4235,4.071347236633301,6.373767852783203,0.3,2022
4239,47.00033950805664,82.45968627929688,6.0,2022
4240,97.17839050292969,90.6866683959961,3.0,2022
4244,1.1246033906936646,46.62834548950195,0.01,2022
4245,65.77650451660156,16.073881149291992,0.3,2022
4246,50.19663619995117,70.4648208618164,0.04,2022
4248,25.492536544799805,44.5410270690918,0.66,2022
4249,56.63798904418945,19.797060012817383,0.2,2022
4250,0.022896116599440575,6.873952865600586,0.1,2022
4251,98.41504669189453,94.238525390625,0.16,2022
4252,78.1646499633789,80.82328796386719,0.41,2022
4255,20.078277587890625,72.61273956298828,0.06,2022
4256,70.0518798828125,38.557830810546875,0.3,2022
4257,48.76384735107422,71.96766662597656,0.2,2022
4258,4.125991344451904,11.033801078796387,0.1,2022
4259,0.1255279779434204,13.629213333129883,1.3,2022
4260,62.613407135009766,39.118934631347656,0.1,2022
4263,31.76122283935547,73.59646606445312,1.1,2022
4264,,,0.05,2022
4266,82.05106353759766,93.13735961914062,0.03,2022
4267,,,0.01,2022
4268,18.746313095092773,26.88981056213379,0.01,2022
4269,72.44600677490234,6.946950912475586,0.01,2022
4270,53.179595947265625,10.898820877075195,0.1,2022
4271,4.090593338012695,10.46029281616211,13.0,2022
4272,5.772799968719482,29.694995880126953,0.5,2022
4273,0.4172491729259491,8.649368286132812,0.06,2022
4274,5.522558212280273,34.819698333740234,1.0,2022
4277,0.2343922257423401,1.127609372138977,0.01,2022
4278,93.5063705444336,63.98558044433594,5.0,2022
4279,94.23051452636719,31.719287872314453,0.02,2022
4280,17.773805618286133,12.183589935302734,0.8,2022
4281,0.04005107283592224,9.725421905517578,0.1,2022
4282,28.90477752685547,30.311134338378906,0.3,2022
4283,73.74101257324219,86.7901382446289,8.0,2022
4290,47.69209671020508,52.14501190185547,1.5,2022
4291,25.477251052856445,47.8082160949707,0.4,2022
4292,2.7344863414764404,23.867956161499023,0.01,2022
4293,13.60899543762207,7.519098281860352,184.01,2022
4298,12.28005599975586,11.437104225158691,0.2,2022
4299,35.29242706298828,50.56044387817383,0.1,2022
4300,12.561487197875977,85.47521209716797,0.01,2022
4301,,,0.01,2022
4302,30.93842887878418,39.737545013427734,0.4,2022
4303,11.198948860168457,28.577302932739258,0.3,2022
4304,8.309903144836426,0.9977797269821167,0.7,2022
4305,98.248779296875,59.05393600463867,0.05,2022
4308,31.795358657836914,78.95281219482422,0.01,2022
4309,10.382607460021973,4.478719234466553,0.1,2022
4310,5.759274959564209,17.255783081054688,813.89,2022
4311,62.35370635986328,71.88233947753906,0.03,2022
4314,15.365324020385742,51.88817596435547,0.2,2022
4315,67.65682983398438,61.074493408203125,0.05,2022
4316,32.3641357421875,58.75153732299805,0.2,2022
4317,95.0447006225586,64.09068298339844,1.5,2022
4318,77.5924301147461,89.4703598022461,0.14,2022
4319,85.81819915771484,84.51170349121094,0.2,2022
4320,,,0.02,2022
4321,9.130544662475586,4.271206855773926,2.0,2022
4324,0.05617886781692505,10.770752906799316,0.2,2022
4326,25.84148597717285,36.56614685058594,0.03,2023
4327,67.78498077392578,84.66913604736328,0.04,2023
4328,17.072980880737305,23.7919864654541,1.5,2023
4329,9.668302536010742,18.11542320251465,1.2,2023
4330,,,0.04,2023
4331,22.3070011138916,9.554293632507324,22.0,2023
4333,,,0.01,2023
4334,6.2619428634643555,7.812039852142334,0.03,2023
4337,2.438352108001709,2.8352432250976562,0.05,2023
4339,10.508116722106934,0.44720515608787537,0.03,2023
4340,31.23504638671875,27.696746826171875,0.5,2023
4341,76.48626708984375,8.66871452331543,0.2,2023
4342,23.3934326171875,45.71100616455078,0.5,2023
4343,20.87599754333496,33.7783088684082,1.0,2023
4344,,,0.5,2023
4349,35.27371597290039,25.01749038696289,0.1,2023
4350,73.421142578125,50.438655853271484,15.0,2023
4351,69.83898162841797,63.0566291809082,0.8,2023
4352,48.66902160644531,4.867438316345215,2.0,2023
4353,68.29236602783203,73.58009338378906,3.0,2023
4354,36.90128707885742,24.683773040771484,0.3,2023
4355,37.611473083496094,29.088565826416016,10.0,2023
4356,31.039400100708008,40.23845291137695,0.1,2023
4357,40.078163146972656,35.164886474609375,3.0,2023
