fold,test_year,prow,pcol,year,month,day,hour,sample_type,y_true_t1,y_prob_t1,y_true_t2,y_prob_t2,y_true_t3,y_prob_t3
1,2021,600,1224,2021,2,26,11,pre_ignition,0,0.11459381,1,0.14527427,0,0.15899599
1,2021,600,1224,2021,2,26,10,pre_ignition,0,0.046088103,0,0.06882572,1,0.09349612
1,2021,619,980,2021,2,26,12,pre_ignition,1,0.09561697,0,0.0924637,0,0.07587945
1,2021,619,980,2021,2,26,11,pre_ignition,0,0.070963986,1,0.07315399,0,0.065418944
1,2021,619,980,2021,2,26,10,pre_ignition,0,0.06027033,0,0.06610113,1,0.06342022
1,2021,714,1047,2021,2,26,9,pre_ignition,1,0.068247564,0,0.09361909,0,0.111925445
1,2021,714,1047,2021,2,26,8,pre_ignition,0,0.06781115,1,0.091893695,0,0.10866983
1,2021,714,1047,2021,2,26,7,pre_ignition,0,0.075230725,0,0.09871925,1,0.11274436
1,2021,556,1119,2021,2,26,9,pre_ignition,1,0.077263296,0,0.107861824,0,0.15312672
1,2021,556,1119,2021,2,26,8,pre_ignition,0,0.070949964,1,0.10009322,0,0.14492756
1,2021,556,1119,2021,2,26,7,pre_ignition,0,0.06982672,0,0.09865501,1,0.1424618
1,2021,675,1103,2021,2,25,12,pre_ignition,1,0.1649337,0,0.19294576,0,0.20330775
1,2021,675,1103,2021,2,25,11,pre_ignition,0,0.1509828,1,0.18351202,0,0.20733522
1,2021,675,1103,2021,2,25,10,pre_ignition,0,0.10506464,0,0.14028582,1,0.17369549
1,2021,1030,1303,2021,2,24,14,pre_ignition,1,0.12884668,0,0.12342908,0,0.10498991
1,2021,1030,1303,2021,2,24,13,pre_ignition,0,0.152512,1,0.15008646,0,0.13217051
1,2021,1030,1303,2021,2,24,12,pre_ignition,0,0.17738302,0,0.18403676,1,0.17209831
