config,use_seq,n_static,fold,test_year,val_year,horizon_h,plgbm,n_test,n_pos_test,auroc,auprc,f1,csi,pod,far,threshold,epochs_run,best_epoch,stop_reason,fold_sec
D_full,True,7,1,2021,2022,1,P_lgbm_r20,28366,612,0.8753848588509412,0.15871206719759925,0.2680652680652681,0.15477792732166892,0.3758169934640523,0.7916666666666666,0.3534034490585327,49,34,early_stop,8.3
D_full,True,7,1,2021,2022,2,P_lgbm_r20,28366,433,0.8796957153082157,0.12212342991391711,0.21456436931079323,0.12017479970866715,0.3810623556581986,0.8506787330316742,0.28998610377311707,49,34,early_stop,8.4
D_full,True,7,1,2021,2022,3,P_lgbm_r20,28366,314,0.8865777931975285,0.1033308646483415,0.1797175866495507,0.09873060648801128,0.2229299363057325,0.8494623655913979,0.3786027729511261,49,34,early_stop,8.4
D_full,True,7,2,2022,2023,1,P_lgbm_r20,35827,7978,0.9345762743843462,0.8531454118487325,0.7752015499031311,0.6329217267068068,0.7773878164953623,0.2269724541941917,0.21528759598731995,34,19,early_stop,6.4
D_full,True,7,2,2022,2023,2,P_lgbm_r20,35827,7296,0.9387382965289524,0.8508325666356631,0.770316103649437,0.6264342453662842,0.778234649122807,0.2374429223744292,0.20784014463424683,34,19,early_stop,6.4
D_full,True,7,2,2022,2023,3,P_lgbm_r20,35827,6735,0.9383678315756552,0.828258472768026,0.7489569846065315,0.5986660533578657,0.7729769858945805,0.27361518068927027,0.1909242868423462,34,19,early_stop,6.4
D_full,True,7,3,2023,2024,1,P_lgbm_r20,30380,2589,0.8836906957896383,0.4538355057591146,0.47630473905218956,0.3125984251968504,0.4600231749710313,0.5062189054726368,0.3941780924797058,23,8,early_stop,4.2
D_full,True,7,3,2023,2024,2,P_lgbm_r20,30380,2185,0.8855139367343235,0.4064920300782703,0.4554771122751082,0.29489826010026543,0.4576659038901602,0.5466908431550317,0.37782105803489685,23,8,early_stop,4.2
D_full,True,7,3,2023,2024,3,P_lgbm_r20,30380,1861,0.8905272650326783,0.3769535235167032,0.44187963726298435,0.28359788359788357,0.4320257925846319,0.547806524184477,0.4043048620223999,23,8,early_stop,4.2
D_full,True,7,4,2024,2025,1,P_lgbm_r20,25369,401,0.8427013010568739,0.11446373939733698,0.2111368909512761,0.11802853437094682,0.22693266832917705,0.8026030368763557,0.27096304297447205,82,67,early_stop,16.0
D_full,True,7,4,2024,2025,2,P_lgbm_r20,25369,261,0.8241338414219155,0.06813917969355553,0.16538461538461538,0.09014675052410902,0.16475095785440613,0.833976833976834,0.2844164967536926,82,67,early_stop,16.1
D_full,True,7,4,2024,2025,3,P_lgbm_r20,25369,172,0.7940759374270284,0.03870639206853385,0.12427184466019417,0.06625258799171843,0.18604651162790697,0.9067055393586005,0.19748073816299438,82,67,early_stop,16.1
D_full,True,7,5,2025,2021,1,P_lgbm_r20,26556,1734,0.8972504764488324,0.44367179879692764,0.4581519109820997,0.2971446501411986,0.5461361014994233,0.6054166666666667,0.27998656034469604,76,61,early_stop,14.5
D_full,True,7,5,2025,2021,2,P_lgbm_r20,26556,1466,0.9035865835244145,0.44248002477473214,0.44386929796182467,0.28523908523908525,0.4679399727148704,0.5778461538461539,0.3196268379688263,76,61,early_stop,14.6
D_full,True,7,5,2025,2021,3,P_lgbm_r20,26556,1262,0.9127455732315388,0.43863625991650085,0.4448727833461835,0.2860684184432325,0.4572107765451664,0.5668168168168168,0.3215588629245758,76,61,early_stop,14.6
